sensor_id,timestamp,location_id,pH,turbidity,TDS,DO,flow_rate,pressure,alert_flag,contamination_target,leak_target,hour,day,month,day_of_week,is_weekend,is_ph_normal,high_turbidity,high_tds,low_do,flow_pressure_ratio,water_quality_score,pressure_category_Medium,pressure_category_High,flow_category_Medium,flow_category_High
SNS-LOCA01-001,2025-05-01 00:00:00+00:00,ZONE-A,7.3,1.01,232.71,7.6,12.79,347.65,normal,0,0,0,1,5,3,0,1,0,0,0,0.03668435393661265,7.87208,False,False,False,False
SNS-LOCA02-002,2025-05-01 00:00:00+00:00,ZONE-A,7.22,1.83,229.58,8.14,13.55,353.83,normal,0,0,0,1,5,3,0,1,0,0,0,0.038187300961023594,7.78434,False,False,False,False
SNS-LOCB01-001,2025-05-01 00:00:00+00:00,ZONE-B,7.11,1.21,212.95,8.2,12.62,368.69,normal,0,0,0,1,5,3,0,1,0,0,0,0.03413670913468041,7.9546,False,False,False,False
SNS-LOCB02-002,2025-05-01 00:00:00+00:00,ZONE-B,7.08,1.06,231.53,8.57,13.4,356.69,normal,0,0,0,1,5,3,0,1,0,0,0,0.037462607285638404,8.038440000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 00:00:00+00:00,ZONE-C,7.41,1.46,198.66,7.79,13.86,338.45,normal,0,0,0,1,5,3,0,1,0,0,0,0.04083075563411401,7.90818,False,False,False,False
SNS-LOCC02-002,2025-05-01 00:00:00+00:00,ZONE-C,7.21,1.6,215.27,8.29,13.48,368.57,normal,0,0,0,1,5,3,0,1,0,0,0,0.03647482209053765,7.90496,False,False,False,False
SNS-LOCA01-001,2025-05-01 00:15:00+00:00,ZONE-A,7.29,1.26,211.57,7.67,13.89,345.47,normal,0,0,0,1,5,3,0,1,0,0,0,0.04009005108667417,7.86636,False,False,False,False
SNS-LOCA02-002,2025-05-01 00:15:00+00:00,ZONE-A,7.19,1.8,209.15,7.88,11.01,341.34,normal,0,0,0,1,5,3,0,1,0,0,0,0.03216100952269674,7.7587,False,False,False,False
SNS-LOCB01-001,2025-05-01 00:15:00+00:00,ZONE-B,7.11,1.67,237.9,7.99,13.18,351.34,normal,0,0,0,1,5,3,0,1,0,0,0,0.037407050008514506,7.737200000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 00:15:00+00:00,ZONE-B,7.36,1.86,224.11,7.6,13.84,353.05,normal,0,0,0,1,5,3,0,1,0,0,0,0.03909052393729699,7.69478,False,False,False,False
SNS-LOCC01-001,2025-05-01 00:15:00+00:00,ZONE-C,7.38,1.49,249.3,7.86,14.56,350.92,normal,0,0,0,1,5,3,0,1,0,0,0,0.0413730393271198,7.8079,False,False,False,False
SNS-LOCC02-002,2025-05-01 00:15:00+00:00,ZONE-C,7.12,1.05,217.73,8.57,13.75,355.51,normal,0,0,0,1,5,3,0,1,0,0,0,0.03856834310398025,8.08054,False,False,False,False
SNS-LOCA01-001,2025-05-01 00:30:00+00:00,ZONE-A,6.84,1.78,228.34,7.78,12.3,349.98,normal,0,0,0,1,5,3,0,1,0,0,0,0.03504473189355519,7.595320000000001,False,False,False,False
SNS-LOCA02-002,2025-05-01 00:30:00+00:00,ZONE-A,7.46,1.08,213.58,8.54,12.49,347.09,normal,0,0,0,1,5,3,0,1,0,0,0,0.035881524892987446,8.17584,False,False,False,False
SNS-LOCB01-001,2025-05-01 00:30:00+00:00,ZONE-B,7.21,1.0,223.3,7.52,13.86,350.03,normal,0,0,0,1,5,3,0,1,0,0,0,0.03948380480300829,7.8464,False,False,False,False
SNS-LOCB02-002,2025-05-01 00:30:00+00:00,ZONE-B,7.54,1.61,240.49,7.48,12.82,352.59,normal,0,0,0,1,5,3,0,1,0,0,0,0.03625668146723607,7.748520000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 00:30:00+00:00,ZONE-C,7.46,0.83,234.86,8.24,14.54,355.7,normal,0,0,0,1,5,3,0,1,0,0,0,0.040762545556490046,8.12078,False,False,False,False
SNS-LOCC02-002,2025-05-01 00:30:00+00:00,ZONE-C,7.21,1.29,201.28,8.08,12.75,366.16,normal,0,0,0,1,5,3,0,1,0,0,0,0.03472600501143915,7.957940000000001,False,False,False,False
SNS-LOCA01-001,2025-05-01 00:45:00+00:00,ZONE-A,7.11,1.63,196.46,7.84,13.26,356.59,normal,0,0,0,1,5,3,0,1,0,0,0,0.03708157386951537,7.79258,False,False,False,False
SNS-LOCA02-002,2025-05-01 00:45:00+00:00,ZONE-A,7.42,1.48,203.24,8.18,13.53,353.93,normal,0,0,0,1,5,3,0,1,0,0,0,0.03812019271405629,7.99452,False,False,False,False
SNS-LOCB01-001,2025-05-01 00:45:00+00:00,ZONE-B,7.09,1.95,221.32,8.28,14.32,354.87,normal,0,0,0,1,5,3,0,1,0,0,0,0.04023941326889033,7.766859999999999,False,False,False,False
SNS-LOCB02-002,2025-05-01 00:45:00+00:00,ZONE-B,7.24,2.36,223.66,7.88,13.11,361.86,normal,0,0,0,1,5,3,0,1,0,0,0,0.036129636774513585,7.604680000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 00:45:00+00:00,ZONE-C,7.22,1.71,237.94,7.79,11.2,352.4,normal,0,0,0,1,5,3,0,1,0,0,0,0.03169213355970572,7.71012,False,False,False,False
SNS-LOCC02-002,2025-05-01 00:45:00+00:00,ZONE-C,7.23,1.26,233.07,8.24,11.96,354.15,normal,0,0,0,1,5,3,0,1,0,0,0,0.033675911586653534,7.94786,False,False,False,False
SNS-LOCA01-001,2025-05-01 01:00:00+00:00,ZONE-A,7.17,0.91,226.79,7.98,12.27,354.18,normal,0,0,1,1,5,3,0,1,0,0,0,0.0345458640689228,7.96492,False,False,False,False
SNS-LOCA02-002,2025-05-01 01:00:00+00:00,ZONE-A,7.27,1.27,226.01,8.41,12.3,353.05,normal,0,0,1,1,5,3,0,1,0,0,0,0.034740855811326084,8.01398,False,False,False,False
SNS-LOCB01-001,2025-05-01 01:00:00+00:00,ZONE-B,7.2,2.41,192.07,8.28,12.73,349.2,normal,0,0,1,1,5,3,0,1,0,0,0,0.0363506567675614,7.743360000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 01:00:00+00:00,ZONE-B,7.49,1.5,253.61,7.82,13.41,346.07,normal,0,0,1,1,5,3,0,1,0,0,0,0.038637738784683205,7.81978,False,False,False,False
SNS-LOCC01-001,2025-05-01 01:00:00+00:00,ZONE-C,7.1,1.52,215.76,8.08,10.85,366.02,normal,0,0,1,1,5,3,0,1,0,0,0,0.029562421666394202,7.838480000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 01:00:00+00:00,ZONE-C,7.17,2.2,204.89,8.12,16.35,343.04,normal,0,0,1,1,5,3,0,1,0,0,0,0.04752354377397977,7.721220000000001,False,False,False,False
SNS-LOCA01-001,2025-05-01 01:15:00+00:00,ZONE-A,6.98,1.28,227.09,8.28,14.46,347.94,normal,0,0,1,1,5,3,0,1,0,0,0,0.04143978907548576,7.88982,False,False,False,False
SNS-LOCA02-002,2025-05-01 01:15:00+00:00,ZONE-A,6.96,1.33,238.6,8.19,11.06,349.72,normal,0,0,1,1,5,3,0,1,0,0,0,0.031535127737226276,7.825799999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 01:15:00+00:00,ZONE-B,7.41,2.35,228.43,8.12,11.81,343.25,normal,0,0,1,1,5,3,0,1,0,0,0,0.03430646332607117,7.708640000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 01:15:00+00:00,ZONE-B,7.21,1.7,228.7,7.81,11.9,343.78,normal,0,0,1,1,5,3,0,1,0,0,0,0.034514763037299154,7.733099999999999,False,False,False,False
SNS-LOCC01-001,2025-05-01 01:15:00+00:00,ZONE-C,7.03,1.76,185.32,7.87,13.58,362.18,normal,0,0,1,1,5,3,0,1,0,0,0,0.03739192686821961,7.765860000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 01:15:00+00:00,ZONE-C,7.21,1.9,214.01,7.7,12.4,362.22,normal,0,0,1,1,5,3,0,1,0,0,0,0.034139089257199495,7.6849799999999995,False,False,False,False
SNS-LOCA01-001,2025-05-01 01:30:00+00:00,ZONE-A,7.35,1.69,269.95,7.99,13.83,352.46,normal,0,0,1,1,5,3,0,1,0,0,0,0.039127482600577156,7.7401,False,False,False,False
SNS-LOCA02-002,2025-05-01 01:30:00+00:00,ZONE-A,7.17,2.43,242.6,7.44,12.76,353.43,normal,0,0,1,1,5,3,0,1,0,0,0,0.03600146714442908,7.4183,False,False,False,False
SNS-LOCB01-001,2025-05-01 01:30:00+00:00,ZONE-B,7.32,0.96,186.17,7.24,13.11,349.17,normal,0,0,1,1,5,3,0,1,0,0,0,0.037438958220293,7.893660000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 01:30:00+00:00,ZONE-B,7.25,1.19,201.64,7.19,13.53,352.96,normal,0,0,1,1,5,3,0,1,0,0,0,0.03822465815346367,7.77172,False,False,False,False
SNS-LOCC01-001,2025-05-01 01:30:00+00:00,ZONE-C,7.35,1.82,217.14,8.54,13.04,344.71,normal,0,0,1,1,5,3,0,1,0,0,0,0.03771947586127101,7.95072,False,False,False,False
SNS-LOCC02-002,2025-05-01 01:30:00+00:00,ZONE-C,7.12,1.27,187.51,8.06,13.44,347.1,normal,0,0,1,1,5,3,0,1,0,0,0,0.03860959494398161,7.95848,False,False,False,False
SNS-LOCA01-001,2025-05-01 01:45:00+00:00,ZONE-A,7.09,1.65,245.75,8.02,12.73,345.27,normal,0,0,1,1,5,3,0,1,0,0,0,0.03676321945302799,7.727999999999999,False,False,False,False
SNS-LOCA02-002,2025-05-01 01:45:00+00:00,ZONE-A,7.19,0.99,218.12,8.02,15.22,357.55,normal,0,0,1,1,5,3,0,1,0,0,0,0.042448751917445265,7.97826,False,False,False,False
SNS-LOCB01-001,2025-05-01 01:45:00+00:00,ZONE-B,7.36,1.21,230.05,7.54,13.59,353.35,normal,0,0,1,1,5,3,0,1,0,0,0,0.03835191195146042,7.8304,False,False,False,False
