sensor_id,timestamp,location_id,pH,turbidity,TDS,DO,flow_rate,pressure,alert_flag,contamination_target,leak_target
SNS-LOCA01-001,2025-05-01 00:00:00+00:00,ZONE-A,7.3,1.01,232.71,7.6,12.79,347.65,normal,0,0
SNS-LOCA02-002,2025-05-01 00:00:00+00:00,ZONE-A,7.22,1.83,229.58,8.14,13.55,353.83,normal,0,0
SNS-LOCB01-001,2025-05-01 00:00:00+00:00,ZONE-B,7.11,1.21,212.95,8.2,12.62,368.69,normal,0,0
SNS-LOCB02-002,2025-05-01 00:00:00+00:00,ZONE-B,7.08,1.06,231.53,8.57,13.4,356.69,normal,0,0
SNS-LOCC01-001,2025-05-01 00:00:00+00:00,ZONE-C,7.41,1.46,198.66,7.79,13.86,338.45,normal,0,0
SNS-LOCC02-002,2025-05-01 00:00:00+00:00,ZONE-C,7.21,1.6,215.27,8.29,13.48,368.57,normal,0,0
SNS-LOCA01-001,2025-05-01 00:15:00+00:00,ZONE-A,7.29,1.26,211.57,7.67,13.89,345.47,normal,0,0
SNS-LOCA02-002,2025-05-01 00:15:00+00:00,ZONE-A,7.19,1.8,209.15,7.88,11.01,341.34,normal,0,0
SNS-LOCB01-001,2025-05-01 00:15:00+00:00,ZONE-B,7.11,1.67,237.9,7.99,13.18,351.34,normal,0,0
SNS-LOCB02-002,2025-05-01 00:15:00+00:00,ZONE-B,7.36,1.86,224.11,7.6,13.84,353.05,normal,0,0
SNS-LOCC01-001,2025-05-01 00:15:00+00:00,ZONE-C,7.38,1.49,249.3,7.86,14.56,350.92,normal,0,0
SNS-LOCC02-002,2025-05-01 00:15:00+00:00,ZONE-C,7.12,1.05,217.73,8.57,13.75,355.51,normal,0,0
SNS-LOCA01-001,2025-05-01 00:30:00+00:00,ZONE-A,6.84,1.78,228.34,7.78,12.3,349.98,normal,0,0
SNS-LOCA02-002,2025-05-01 00:30:00+00:00,ZONE-A,7.46,1.08,213.58,8.54,12.49,347.09,normal,0,0
SNS-LOCB01-001,2025-05-01 00:30:00+00:00,ZONE-B,7.21,1.0,223.3,7.52,13.86,350.03,normal,0,0
SNS-LOCB02-002,2025-05-01 00:30:00+00:00,ZONE-B,7.54,1.61,240.49,7.48,12.82,352.59,normal,0,0
SNS-LOCC01-001,2025-05-01 00:30:00+00:00,ZONE-C,7.46,0.83,234.86,8.24,14.54,355.7,normal,0,0
SNS-LOCC02-002,2025-05-01 00:30:00+00:00,ZONE-C,7.21,1.29,201.28,8.08,12.75,366.16,normal,0,0
SNS-LOCA01-001,2025-05-01 00:45:00+00:00,ZONE-A,7.11,1.63,196.46,7.84,13.26,356.59,normal,0,0
SNS-LOCA02-002,2025-05-01 00:45:00+00:00,ZONE-A,7.42,1.48,203.24,8.18,13.53,353.93,normal,0,0
SNS-LOCB01-001,2025-05-01 00:45:00+00:00,ZONE-B,7.09,1.95,221.32,8.28,14.32,354.87,normal,0,0
SNS-LOCB02-002,2025-05-01 00:45:00+00:00,ZONE-B,7.24,2.36,223.66,7.88,13.11,361.86,normal,0,0
SNS-LOCC01-001,2025-05-01 00:45:00+00:00,ZONE-C,7.22,1.71,237.94,7.79,11.2,352.4,normal,0,0
SNS-LOCC02-002,2025-05-01 00:45:00+00:00,ZONE-C,7.23,1.26,233.07,8.24,11.96,354.15,normal,0,0
SNS-LOCA01-001,2025-05-01 01:00:00+00:00,ZONE-A,7.17,0.91,226.79,7.98,12.27,354.18,normal,0,0
SNS-LOCA02-002,2025-05-01 01:00:00+00:00,ZONE-A,7.27,1.27,226.01,8.41,12.3,353.05,normal,0,0
SNS-LOCB01-001,2025-05-01 01:00:00+00:00,ZONE-B,7.2,2.41,192.07,8.28,12.73,349.2,normal,0,0
SNS-LOCB02-002,2025-05-01 01:00:00+00:00,ZONE-B,7.49,1.5,253.61,7.82,13.41,346.07,normal,0,0
SNS-LOCC01-001,2025-05-01 01:00:00+00:00,ZONE-C,7.1,1.52,215.76,8.08,10.85,366.02,normal,0,0
SNS-LOCC02-002,2025-05-01 01:00:00+00:00,ZONE-C,7.17,2.2,204.89,8.12,16.35,343.04,normal,0,0
SNS-LOCA01-001,2025-05-01 01:15:00+00:00,ZONE-A,6.98,1.28,227.09,8.28,14.46,347.94,normal,0,0
SNS-LOCA02-002,2025-05-01 01:15:00+00:00,ZONE-A,6.96,1.33,238.6,8.19,11.06,349.72,normal,0,0
SNS-LOCB01-001,2025-05-01 01:15:00+00:00,ZONE-B,7.41,2.35,228.43,8.12,11.81,343.25,normal,0,0
SNS-LOCB02-002,2025-05-01 01:15:00+00:00,ZONE-B,7.21,1.7,228.7,7.81,11.9,343.78,normal,0,0
SNS-LOCC01-001,2025-05-01 01:15:00+00:00,ZONE-C,7.03,1.76,185.32,7.87,13.58,362.18,normal,0,0
SNS-LOCC02-002,2025-05-01 01:15:00+00:00,ZONE-C,7.21,1.9,214.01,7.7,12.4,362.22,normal,0,0
SNS-LOCA01-001,2025-05-01 01:30:00+00:00,ZONE-A,7.35,1.69,269.95,7.99,13.83,352.46,normal,0,0
SNS-LOCA02-002,2025-05-01 01:30:00+00:00,ZONE-A,7.17,2.43,242.6,7.44,12.76,353.43,normal,0,0
SNS-LOCB01-001,2025-05-01 01:30:00+00:00,ZONE-B,7.32,0.96,186.17,7.24,13.11,349.17,normal,0,0
SNS-LOCB02-002,2025-05-01 01:30:00+00:00,ZONE-B,7.25,1.19,201.64,7.19,13.53,352.96,normal,0,0
SNS-LOCC01-001,2025-05-01 01:30:00+00:00,ZONE-C,7.35,1.82,217.14,8.54,13.04,344.71,normal,0,0
SNS-LOCC02-002,2025-05-01 01:30:00+00:00,ZONE-C,7.12,1.27,187.51,8.06,13.44,347.1,normal,0,0
SNS-LOCA01-001,2025-05-01 01:45:00+00:00,ZONE-A,7.09,1.65,245.75,8.02,12.73,345.27,normal,0,0
SNS-LOCA02-002,2025-05-01 01:45:00+00:00,ZONE-A,7.19,0.99,218.12,8.02,15.22,357.55,normal,0,0
SNS-LOCB01-001,2025-05-01 01:45:00+00:00,ZONE-B,7.36,1.21,230.05,7.54,13.59,353.35,normal,0,0
SNS-LOCB02-002,2025-05-01 01:45:00+00:00,ZONE-B,7.09,2.3,228.51,7.24,13.85,346.74,normal,0,0
SNS-LOCC01-001,2025-05-01 01:45:00+00:00,ZONE-C,7.2,1.69,225.86,7.18,12.03,356.18,normal,0,0
